Index,Player,Season,Team,S/C,Pos,GP,TOI,TOI/GP
421,Dylan Strome,20-21,CHI,L,C,40,620:32,15:30
476,Eeli Tolvanen,20-21,NSH,L,R,40,592:17,14:48
1156,Patrik Laine,20-21,"WPG,CBJ",R,L,46,802:41,17:26
1224,Eetu Luostarinen,20-21,FLA,L,C,44,578:01,13:08
1199,Elias Lindholm,20-21,CGY,R,C,56,1114:06,19:53
855,Luke Glendening,20-21,DET,R,C,54,799:26,14:48
267,Eric Robinson,20-21,CBJ,L,L,56,694:04,12:23
355,Jakob Silfverberg,20-21,ANA,R,R,47,796:23,16:56
39,Erik Brannstrom,20-21,OTT,L,D,30,490:44,16:21
844,Ryan Getzlaf,20-21,ANA,R,C,48,795:49,16:34
742,Nikolaj Ehlers,20-21,WPG,L,L,47,795:14,16:55
1141,Jordan Kyrou,20-21,STL,R,R,55,793:19,14:25
1057,Erik Karlsson,20-21,SJS,R,D,52,1226:49,23:35
1197,Esa Lindell,20-21,DAL,L,D,56,1298:07,23:10
1447,Ethan Bear,20-21,EDM,R,D,43,772:21,17:57
268,Evan Rodrigues,20-21,PIT,R,C,35,493:40,14:06
960,Mike Hoffman,20-21,STL,L,C,52,783:20,15:03
1051,Evander Kane,20-21,SJS,L,L,56,1131:02,20:11
1249,Evgeni Malkin,20-21,PIT,L,C,33,585:27,17:44
1138,Evgeny Kuznetsov,20-21,WSH,L,C,41,679:27,16:34
603,Filip Chytil,20-21,NYR,L,C,42,555:27,13:13
802,Filip Forsberg,20-21,NSH,R,L,39,713:22,18:17
181,Marcus Pettersson,20-21,PIT,L,D,47,774:48,16:29
977,Filip Hronek,20-21,DET,R,D,56,1309:37,23:23
1162,Gabriel Landeskog,20-21,COL,L,L,54,1077:41,19:57
929,Garnet Hathaway,20-21,WSH,R,R,56,689:55,12:19
121,Jordan Oesterle,20-21,ARI,L,D,43,769:45,17:54
364,Jeff Skinner,20-21,BUF,L,L,53,769:37,14:31
926,Ryan Hartman,20-21,MIN,R,R,51,768:38,15:04
1325,Ilya Mikheyev,20-21,TOR,L,R,54,767:19,14:12
1171,Jeremy Lauzon,20-21,BOS,L,D,41,767:08,18:42
1215,Milan Lucic,20-21,CGY,L,L,56,763:11,13:37
791,Haydn Fleury,20-21,"CAR,ANA",L,D,47,723:41,15:23
700,Noah Dobson,20-21,NYI,R,D,46,754:07,16:23
1228,Ilya Lyubushkin,20-21,ARI,R,D,42,659:03,15:41
1220,Isac Lundeström,20-21,ANA,L,C,41,624:57,15:14
1431,Ivan Barbashev,20-21,STL,L,L,38,507:25,13:21
213,Ivan Provorov,20-21,PHI,L,D,56,1399:55,24:59
955,Roope Hintz,20-21,DAL,L,C,41,747:31,18:13
623,J.T. Compher,20-21,COL,R,L,48,682:26,14:13
1329,J.T. Miller,20-21,VAN,L,C,53,1111:10,20:57
704,Joonas Donskoi,20-21,COL,R,R,51,741:30,14:32
369,Jaccob Slavin,20-21,CAR,L,D,52,1195:05,22:58
41,Jesper Bratt,20-21,NJD,L,L,46,739:30,16:04
982,Jack Hughes,20-21,NJD,L,C,56,1067:32,19:03
1133,Janne Kuokkanen,20-21,NJD,L,C,50,738:43,14:46
972,Patric Hornqvist,20-21,FLA,R,R,44,738:28,16:47
62,Jacob Bryson,20-21,BUF,L,D,38,723:44,19:02
885,Matt Grzelcyk,20-21,BOS,L,D,37,730:31,19:44
648,Lawson Crouse,20-21,ARI,L,L,51,729:09,14:17
325,Jaden Schwartz,20-21,STL,L,L,40,708:08,17:42
1446,Jake Bean,20-21,CAR,L,D,42,610:35,14:32
1168,Johan Larsson,20-21,ARI,L,L,52,726:55,13:58
675,Jake DeBrusk,20-21,BOS,L,L,41,610:39,14:53
763,Jake Evans,20-21,MTL,R,C,47,556:15,11:50
890,Jake Guentzel,20-21,PIT,L,C,56,1134:58,20:16
1361,Jake Muzzin,20-21,TOR,L,D,53,1143:51,21:34
750,Lars Eller,20-21,WSH,L,C,44,719:04,16:20
1299,Michael McLeod,20-21,NJD,R,C,52,718:17,13:48
602,Jakob Chychrun,20-21,ARI,L,D,56,1309:44,23:23
714,Jonathan Drouin,20-21,MTL,L,L,44,707:57,16:05
288,Jan Rutta,20-21,TBL,R,D,35,561:08,16:01
1136,Philipp Kurashev,20-21,CHI,L,C,54,706:13,13:04
347,Riley Sheahan,20-21,BUF,L,C,53,705:00,13:18
1283,Jared McCann,20-21,PIT,L,L,43,606:54,14:06
776,Jesper Fast,20-21,CAR,R,R,46,703:39,15:17
396,Jared Spurgeon,20-21,MIN,R,D,54,1192:46,22:05
579,Mats Zuccarello,20-21,MIN,L,R,42,700:38,16:40
394,Jason Spezza,20-21,TOR,R,C,54,595:35,11:01
580,Jason Zucker,20-21,PIT,L,L,38,596:08,15:41
636,Nick Cousins,20-21,NSH,L,C,52,694:46,13:21
1445,Jay Beagle,20-21,VAN,R,C,30,375:34,12:31
1463,Sam Bennett,20-21,"CGY,FLA",L,C,48,692:14,14:25
719,Pierre-Luc Dubois,20-21,"CBJ,WPG",L,C,46,691:29,15:01
178,Jeff Petry,20-21,MTL,R,D,55,1250:34,22:44
1047,Kaapo Kakko,20-21,NYR,L,R,48,688:41,14:20
507,Jimmy Vesey,20-21,"TOR,VAN",L,L,50,635:25,12:42
1230,Olli Maatta,20-21,LAK,L,D,41,673:54,16:26
464,Joe Thornton,20-21,TOR,L,C,44,603:41,13:43
1411,Joel Armia,20-21,MTL,R,R,41,602:58,14:42
271,Kevin Rooney,20-21,NYR,L,C,54,667:06,12:21
919,Joel Hanley,20-21,DAL,L,D,35,455:37,13:01
88,John Carlson,20-21,WSH,R,D,52,1236:40,23:46
1135,Sean Kuraly,20-21,BOS,L,C,47,661:23,14:04
1094,John Klingberg,20-21,DAL,R,D,53,1202:53,22:41
1195,Oskar Lindblom,20-21,PHI,L,L,50,659:05,13:10
1262,John Marino,20-21,PIT,R,D,52,1078:09,20:44
51,Jonas Brodin,20-21,MIN,L,D,53,1189:01,22:26
282,Nicolas Roy,20-21,VGK,R,C,50,650:52,13:01
820,Sam Gagner,20-21,DET,R,C,42,648:31,15:26
286,Kris Russell,20-21,EDM,L,D,35,643:43,18:23
1265,Patrick Maroon,20-21,TBL,L,L,55,637:36,11:35
1269,Jordan Martinook,20-21,CAR,L,L,44,561:18,12:45
702,Ryan Donato,20-21,SJS,L,C,50,630:05,12:36
1462,Jordie Benn,20-21,"VAN,WPG",L,D,39,575:27,14:45
1053,Kasperi Kapanen,20-21,PIT,R,R,40,621:16,15:31
1349,Josh Morrissey,20-21,WPG,L,D,56,1318:43,23:32
1038,Mathieu Joseph,20-21,TBL,L,R,56,612:13,10:55
1160,Juho Lammikko,20-21,FLA,L,C,44,476:34,10:49
836,Julien Gauthier,20-21,NYR,R,R,30,289:17,9:38
407,Sam Steel,20-21,ANA,L,C,42,610:11,14:31
777,Justin Faulk,20-21,STL,R,D,56,1358:32,24:15
965,Justin Holl,20-21,TOR,R,D,55,1158:28,21:03
1428,Rudolfs Balcers,20-21,SJS,L,L,41,603:10,14:42
1455,Pierre-Edouard Bellemare,20-21,COL,L,L,53,600:19,11:19
1267,Matt Martin,20-21,NYI,L,L,54,597:44,11:04
1330,K'Andre Miller,20-21,NYR,L,D,53,1118:49,21:06
1104,Keegan Kolesar,20-21,VGK,R,R,44,420:02,9:32
231,Michael Rasmussen,20-21,DET,L,C,40,591:57,14:47
343,Kevin Shattenkirk,20-21,ANA,R,D,55,1166:18,21:12
795,Marcus Foligno,20-21,MIN,L,L,39,583:32,14:57
1186,Kris Letang,20-21,PIT,R,D,55,1355:40,24:38
225,Michael Raffl,20-21,"PHI,WSH",L,L,44,583:07,13:15
