Index,Player,Season,Team,S/C,Pos,GP,TOI,TOI/GP
454,Troy Terry,20-21,ANA,R,R,48,705:33,14:41
203,Tucker Poolman,20-21,WPG,R,D,39,714:01,18:18
380,Ty Smith,20-21,NJD,L,D,48,965:54,20:07
36,Tyler Bozak,20-21,STL,R,C,31,462:18,14:54
757,Tyler Ennis,20-21,EDM,L,R,30,363:47,12:07
1363,Tyler Myers,20-21,VAN,R,D,55,1214:21,22:04
195,Tyler Pitlick,20-21,ARI,R,C,38,621:49,16:21
475,Tyler Toffoli,20-21,MTL,R,C,52,911:14,17:31
1437,Tyson Barrie,20-21,EDM,R,D,56,1198:12,21:23
1042,Tyson Jost,20-21,COL,L,C,54,762:38,14:07
1376,Valeri Nichushkin,20-21,COL,L,R,55,774:28,14:04
938,Victor Hedman,20-21,TBL,L,D,54,1352:26,25:02
130,Victor Olofsson,20-21,BUF,L,L,56,973:59,17:23
229,Victor Rask,20-21,MIN,L,C,54,780:14,14:26
1412,Viktor Arvidsson,20-21,NSH,R,L,50,830:14,16:36
728,Vince Dunn,20-21,STL,L,D,43,827:43,19:14
484,Vincent Trocheck,20-21,CAR,R,C,47,856:37,18:13
837,Vladislav Gavrikov,20-21,CBJ,L,D,55,1067:04,19:24
1365,Vladislav Namestnikov,20-21,DET,L,C,53,857:39,16:10
792,Warren Foegele,20-21,CAR,L,L,53,750:10,14:09
360,Wayne Simmonds,20-21,TOR,R,R,38,455:27,11:59
96,William Carrier,20-21,VGK,L,L,52,541:23,10:24
1059,William Karlsson,20-21,VGK,L,C,56,1045:26,18:40
111,William Nylander,20-21,TOR,R,R,51,846:38,16:36
482,Yakov Trenin,20-21,NSH,L,C,45,520:18,11:33
860,Yanni Gourde,20-21,TBL,L,C,56,956:08,17:04
342,Yegor Sharangovich,20-21,NJD,L,C,54,907:36,16:48
1415,Zach Aston-Reese,20-21,PIT,L,L,45,658:02,14:37
13,Zach Bogosian,20-21,TOR,R,D,45,654:10,14:32
993,Zach Hyman,20-21,TOR,R,L,43,832:41,19:21
149,Zach Parise,20-21,MIN,L,L,45,627:36,13:56
534,Zach Werenski,20-21,CBJ,L,D,35,852:34,24:21
538,Zach Whitecloud,20-21,VGK,R,D,51,908:41,17:49
305,Zachary Sanford,20-21,STL,L,L,52,774:18,14:53
1235,Zack MacEwen,20-21,VAN,R,R,34,293:47,8:38
589,Zdeno Chara,20-21,WSH,L,D,55,1007:43,18:19
