Index,Season,S/C,Pos,G,A,A1,S,Ht,Wt,Hits,HitsT,BkS,GvA,TkA,TOI,GP,SAT% Relative,Pen Drawn,Pen Taken,SAT%,USAT %,On-Ice GF %,OZ Ratio,OZ Start%,NZ Start%,DZ Start%,FOW,FOL,ixG,iCF,18+ MPH Speed Bursts,20+ MPH Speed Bursts,22+ MPH Speed Bursts,Top Speed (MPH),GF,GA,xGF,xGA,oiSh%,oiSv%,PDO,TOI/GP
146,21-22,R,D,6,29,10,135,78,228,72,119,169,53,51,1884.97,80,-4.9,17,9,44.1,44.4,51.2,39.7,26.1,34.4,39.5,0,0,6.77,244,517,106,4,22.48,81,76,61.28,68.59,11.36,91.02,102.38,23.56
872,22-23,L,L,5,7,4,66,75,209,101,74,25,14,17,555.65,61,-3.8,16,25,47,49,61.7,22.6,10.4,54,35.6,2,1,8.04,107,320,44,0,21.87,21,13,23.7,19.73,9.21,94.69,103.9,9.11
146,22-23,R,D,4,23,6,133,78,228,115,118,144,49,59,1817.22,79,-0.6,7,15,45.6,45.7,40.6,38.5,23.6,38.7,37.7,0,0,5.55,256,464,107,3,22.8,50,73,56.53,68.97,7.66,90.74,98.39,23
872,23-24,L,L,6,6,3,57,75,209,100,47,24,16,18,521.07,59,-4.4,12,13,47.1,48.5,38.8,42,26,38.1,35.9,4,4,6.3,110,280,40,0,21.79,14,22,16.73,18.24,6.64,90.91,97.54,8.83
71,21-22,R,D,10,44,25,203,77,228,55,60,150,97,68,2144.03,82,-0.9,8,21,45,46.6,51.1,42.9,28.5,33.5,38,0,1,8.93,446,363,54,0,21.83,68,65,63.05,70.14,9.43,92.26,101.69,26.15
744,21-22,R,D,15,42,13,180,76,220,62,54,69,73,43,1520.2,61,2.8,9,13,58.1,58.7,62.6,58.5,38.8,33.7,27.5,0,0,10.86,317,271,30,1,22,67,39,59.29,40.87,9.9,92.02,101.92,24.92
71,22-23,R,D,18,43,25,255,77,228,40,47,86,52,55,1903.65,82,1.8,8,22,61.5,60,58.7,59.9,41.2,31.2,27.6,1,0,12.16,554,348,40,1,22.88,63,44,74.32,50.17,7.44,92.59,100.03,23.22
744,22-23,R,D,14,24,15,216,76,220,77,55,80,65,29,1660.98,71,1.7,16,29,54.6,52.9,46.8,50.7,32.9,35.1,32,0,0,16.58,377,348,37,1,22.12,52,59,63.57,57.98,7.54,90.15,97.69,23.39
744,23-24,R,D,4,14,6,98,76,220,85,52,59,26,14,1064.03,51,1.5,6,21,57.6,55.7,68.6,49.5,33.4,32.5,34.1,0,0,6.45,216,187,12,0,21.05,34,16,37.62,27.9,7.93,95.45,103.38,20.86
1041,21-22,L,D,23,73,36,281,73,201,66,138,133,71,48,2044.35,80,3.3,18,23,51.4,51.2,56.9,60.7,39.7,34.5,25.8,0,0,16.03,563,395,31,0,21.87,82,62,68.17,64.51,9.67,92.4,102.07,25.55
5,21-22,R,C,10,10,4,77,68,181,91,70,24,17,18,692.17,58,-1.7,8,3,50,49.1,45.4,46.3,30.4,34.3,35.3,83,86,8.21,126,434,95,3,22.08,20,25,19.99,22.57,7.66,90.81,98.47,11.93
1041,22-23,L,D,18,41,21,269,73,201,51,108,146,29,24,1686.2,67,4.1,16,18,51,50.2,57.7,59.2,40.9,30.9,28.2,0,0,18.56,542,282,12,0,20.8,63,46,61.67,61.14,9.36,93.23,102.59,25.17
5,22-23,R,C,2,8,7,53,68,181,49,46,17,15,20,625.45,53,0,17,3,43.2,42.3,31.8,32.7,19.7,39.9,40.4,18,18,5.72,99,373,75,3,22.33,14,30,16.51,25.18,7,89.83,96.83,11.8
5,23-24,R,C,8,4,4,88,68,181,45,44,22,14,21,637.67,44,5.2,14,5,48.1,48.2,43.3,41.5,27.6,33.5,38.9,32,38,9.52,155,269,48,1,22.55,13,17,18.28,23.5,5.22,92.86,98.08,14.49
1166,21-22,R,D,8,17,10,119,75,207,183,88,140,35,23,1826.75,82,-0.6,8,25,50.2,48.9,38.8,48.7,32,34.2,33.7,0,0,4.35,260,350,39,1,22.78,55,86,52.71,66.61,8.14,88.25,96.39,22.28
1166,22-23,R,D,8,25,12,143,75,207,222,107,173,30,32,1938.47,82,3.2,7,22,54.6,55.6,56.8,62.4,42,32.8,25.2,0,0,7.52,299,365,27,0,21.4,87,67,77.13,66.58,10.41,90.28,100.68,23.64
9,21-22,L,L,2,7,4,28,73,191,82,48,17,6,6,343.22,32,-13.7,8,8,38.9,39.3,43.4,32.2,20.6,35.8,43.5,0,3,2.54,46,255,53,4,22.46,10,13,8.08,11.67,8.93,91.22,100.14,10.73
435,21-22,L,D,7,25,6,118,73,201,46,64,88,46,19,1939.75,82,3.4,5,20,51,49.7,51.7,51.2,36,29.7,34.3,0,0,6.18,265,172,18,0,20.67,59,56,71.09,66.71,7.6,92.82,100.42,23.66
21,21-22,R,D,11,11,4,64,72,195,26,51,47,28,11,886.38,52,0.9,7,6,47.9,46.5,47.6,59,40.7,30.9,28.4,0,0,4.87,130,186,24,0,21.36,40,44,31.02,37.74,9.85,90.52,100.37,17.05
435,22-23,L,D,3,22,9,92,73,201,81,51,115,45,23,1671.12,82,1.7,6,13,52.8,51.6,51.4,52.3,34.9,33.2,31.9,0,0,4.28,236,244,17,0,21.03,55,52,62.26,54.97,8.02,91.98,99.99,20.38
21,22-23,R,D,5,19,11,68,72,195,23,46,47,24,11,857.13,46,3.9,8,4,47.8,47.5,45.2,64.7,45.1,30.2,24.6,0,0,3.86,135,223,31,1,22.02,33,40,29.93,37.12,9.79,90.29,100.08,18.63
306,21-22,L,D,7,24,11,123,76,222,64,154,142,55,23,1837.6,80,1.2,15,17,47.3,47.3,54.1,42,27.3,34.9,37.8,0,0,6.97,249,549,87,3,22.46,79,66,69.34,71.55,9.81,92.26,102.08,22.97
21,23-24,R,D,1,9,5,45,72,195,11,38,42,16,7,639.92,35,-1.4,4,0,48.5,47.9,48.1,58.4,39.1,33,27.8,0,0,3.38,115,147,18,0,21.86,26,28,24.31,29.46,8.81,91.49,100.3,18.28
306,22-23,L,D,7,16,11,111,76,222,61,141,137,42,22,1652.62,81,-1,16,20,46.9,47.7,47.9,46.9,30.6,34.9,34.5,0,0,8.63,206,478,69,4,22.58,46,50,59.05,67.92,6.98,93.1,100.08,20.4
12,21-22,R,R,23,23,10,195,73,208,35,32,26,21,33,1320.53,71,4.3,11,10,53.1,52.1,50,59.4,42.2,29,28.8,27,26,24.43,391,432,38,0,21.92,35,34,41.21,43.3,6.54,93.4,99.94,18.6
1035,21-22,R,D,5,46,18,194,76,213,99,148,155,71,34,2044.73,78,4.2,12,14,48.8,48.8,41.8,56.1,38.4,31.6,30,0,0,10,365,657,112,3,22.19,50,71,55.41,59.32,6.72,90.9,97.62,26.21
12,22-23,R,R,18,37,19,178,73,208,49,30,32,21,23,1275.87,74,0.4,7,12,48.2,47.9,44.1,51.9,34.9,32.7,32.4,22,35,22.44,309,403,44,0,21.54,53,67,39.52,51.74,10.77,86.96,97.74,17.24
1035,22-23,R,D,12,25,11,178,76,213,106,96,125,66,46,1760.48,72,4.8,7,13,47.3,48.2,40.3,53.2,36,32.3,31.7,0,0,10.21,329,420,46,0,21.83,49,74,55.07,62.42,7.66,89.32,96.98,24.45
12,23-24,R,R,40,33,22,204,73,208,56,43,29,21,28,1506.78,81,-1.1,5,7,50.2,49.2,62.2,50.8,33.5,34.1,32.4,13,12,33.67,395,432,51,0,21.45,61,36,45.96,43.82,12.13,93.19,105.32,18.6
12,24-25,R,R,25,25,12,145,73,208,76,25,34,37,18,1362.1,75,-0.6,7,7,48.5,47.5,46.7,55.8,38.1,31.8,30.2,15,40,18.99,309,377,44,0,21.76,36,41,39.51,43.26,8.53,91.2,99.73,18.16
657,21-22,L,D,13,40,21,170,75,204,121,127,91,51,27,1921.15,80,2.8,21,33,50.1,48.5,46.4,58.4,38.7,33.8,27.5,0,0,8.19,321,361,35,0,21.4,59,69,58.11,69.17,7.68,91.3,98.98,24.01
761,22-23,L,L,8,10,6,55,73,209,160,51,55,17,16,816.23,61,-5.9,9,9,41.6,42,36.3,49.2,32.2,34.6,33.2,12,14,7.11,114,322,63,2,22.34,20,35,19.8,28.91,8.26,89.52,97.79,13.38
657,22-23,L,D,15,58,35,204,75,204,105,136,132,61,45,2012.07,78,3.6,20,42,53.4,52.9,53.2,55.9,36.7,34.3,29,0,0,15.58,378,306,22,0,21.57,82,72,77.09,71.2,9.32,90.59,99.91,25.8
761,21-22,L,L,6,13,9,108,73,209,161,73,43,20,24,1057.28,79,-4.6,15,14,42.7,42.6,38.5,41.7,26.3,36.8,36.8,34,31,10.01,176,480,120,7,22.47,27,43,33.02,41.9,6.84,91.83,98.66,13.38
771,23-24,L,C,12,15,10,115,74,205,63,61,25,15,18,769.8,49,-1.1,13,8,46.7,44.7,37.1,61.8,43.2,30.1,26.7,171,221,12.27,243,654,179,13,22.7,26,44,24.76,30.2,9.59,87.32,96.91,15.71
1186,21-22,R,D,10,58,34,214,72,199,171,144,122,79,59,2010.63,78,-1.6,12,23,51.2,51.5,55.9,54.3,35,35.6,29.5,0,0,10.8,403,455,54,1,22.53,71,56,70.01,66.27,8.24,93.15,101.39,25.78
771,24-25,L,C,31,23,14,191,74,205,113,101,56,89,23,1433.18,82,-2.2,20,9,47.3,46.4,54.4,59.5,37.7,36.7,25.6,420,599,23.34,383,1044,264,25,23.46,61,51,46.63,58.37,11.51,91.46,102.97,17.48
1186,22-23,R,D,12,29,10,161,72,199,162,137,108,84,47,1590.88,64,-0.3,12,15,51.7,52,49,54.2,34.4,36.6,29,0,0,8.17,374,337,33,0,21.84,52,55,68.56,60.15,7.42,91.98,99.4,24.86
809,22-23,R,D,12,60,28,159,71,185,25,97,125,74,88,1998.97,82,6.9,14,17,54.3,54.3,59.4,56.2,36.5,35,28.5,0,0,11.65,331,231,14,0,21.05,69,47,70.76,59.32,9.02,92.97,101.99,24.38
1363,21-22,R,D,1,17,8,128,80,229,145,128,148,56,32,1802.22,82,-1,13,25,49.1,49.8,53.8,46,30.7,33.4,36,0,0,6.03,257,428,52,2,22.41,64,53,63.29,63.74,8.21,93.33,101.54,21.98
809,23-24,R,D,17,56,25,137,71,185,44,88,123,33,47,1687.93,72,5.5,22,18,53.8,54.4,59.5,58.8,41.1,30.2,28.7,0,0,10.27,289,207,13,0,21.25,56,38,56.08,47.19,8.76,93.05,101.82,23.44
1363,22-23,R,D,1,16,7,100,80,229,93,89,144,48,25,1630.7,78,-4,6,30,45.1,45.5,41.7,44.2,28.2,36.3,35.6,0,0,4.46,218,327,39,1,22.58,56,78,52.43,63.75,8.89,89.52,98.41,20.91
809,24-25,R,D,10,51,30,135,71,185,40,92,108,76,40,1720.42,74,10.3,12,16,55.3,55.5,58.2,63.8,44.9,29.6,25.5,0,0,10.73,325,209,8,0,21.33,67,48,61.18,53,10.29,91.26,101.55,23.25
809,21-22,R,D,11,63,33,158,71,185,30,107,128,58,78,1864.75,78,3.9,18,13,49.7,50.6,53.9,56.2,37.9,32.6,29.5,0,0,8.94,275,275,22,0,21.65,62,53,57.8,56.06,9.16,91.56,100.72,23.91
188,21-22,R,D,13,31,17,227,75,215,66,197,164,56,93,1971.9,80,2,8,16,53.8,54.3,51.5,56.3,37.6,33.1,29.2,0,0,13.17,456,317,17,0,21.96,64,61,71.94,69.6,7.5,91.59,99.09,24.65
830,21-22,R,R,5,9,5,94,73,190,72,40,10,17,21,656.53,58,-1.5,7,7,46.8,46.1,41,52,34.3,34.1,31.7,56,71,9.01,162,320,43,0,21.63,16,23,20.24,29.04,6.02,92.97,98.98,11.32
188,22-23,R,D,11,43,19,170,75,215,65,164,177,52,56,1750.63,73,0,7,8,48.1,50.3,54.7,50.9,35.2,30.8,33.9,1,0,10.07,335,225,15,0,21.49,64,52,65.6,58.72,9.21,92.05,101.26,23.98
456,21-22,L,D,14,38,22,205,74,197,37,118,97,58,60,1804.45,78,1.1,9,12,53.2,53.9,54.4,55.6,37.5,32.6,29.9,0,0,12,417,521,87,1,22.47,68,57,72.79,64.21,7.9,91.91,99.81,23.13
947,21-22,L,C,19,23,15,141,72,195,22,43,47,20,18,1010.33,58,4.4,6,7,50.7,50.2,49.4,44,29.8,32.3,38,276,221,18.45,233,302,43,1,22.15,44,45,39.53,34.61,10.28,89.31,99.59,17.42
456,22-23,L,D,8,33,15,136,74,197,16,63,86,24,28,1178.82,55,5.7,7,8,50.5,50.9,58.4,50.6,34.2,32.5,33.3,0,0,8.05,285,323,54,1,22.06,53,37,49,43.01,9.87,92.54,102.41,21.43
947,22-23,L,C,22,16,9,132,72,195,28,36,46,34,26,1127.17,62,3.4,9,11,45.7,44.6,48.6,50.7,33.3,34.2,32.4,342,327,19.45,224,234,24,0,21.53,35,37,34.22,40.34,9.43,92.04,101.48,18.18
947,23-24,L,C,24,27,15,140,72,195,99,65,78,18,30,1381.63,82,-0.5,12,13,48.1,47,55.4,44.1,28.9,34.3,36.7,577,506,20.55,271,457,52,0,21.92,46,37,40.95,42.12,10.43,92.39,102.82,16.85
1349,21-22,L,D,12,25,14,173,72,195,150,85,104,63,26,1869.03,79,4.2,20,28,52,51.8,50,53.5,34.9,34.8,30.4,0,0,11.68,351,402,46,0,21.7,59,60,71.63,60.75,7.33,91.77,99.1,23.66
1349,22-23,L,D,16,60,34,172,72,195,89,72,119,59,36,1890.03,78,-1,18,19,51.2,51.4,54.7,55.8,38,31.9,30.1,0,0,12.55,395,341,39,0,21.46,75,62,74.99,69.28,9.75,91.94,101.69,24.23
35,21-22,L,C,11,10,5,87,78,245,95,51,39,10,20,712.07,66,-2.3,8,8,49.6,52,54.7,30.4,20.6,32.2,47.2,165,200,7.31,122,264,30,0,21.49,23,19,20.31,20.31,7.62,93.31,100.93,10.79
532,21-22,R,D,8,36,17,203,72,206,179,141,156,85,74,1869.8,80,1.9,9,27,57.6,57.8,57.6,59.1,39.9,32.6,27.5,0,0,10.47,391,531,70,0,21.92,88,63,86.48,61.87,8.99,91.04,100.03,23.37
1166,23-24,R,D,4,14,5,130,75,207,162,85,151,18,22,1858.55,81,1,11,20,51.6,48.1,53.7,60.3,40.3,33.1,26.6,0,0,7.36,297,350,46,1,22.18,57,48,57.37,58.03,8.23,93.56,101.78,22.95
532,22-23,R,D,4,27,9,160,72,206,186,120,117,62,38,1708.98,81,6,10,20,61.3,61.2,56.3,57.4,37.3,35,27.7,0,0,7.34,356,440,52,0,21.78,62,47,67.89,49.44,7.39,90.73,98.12,21.1
1166,24-25,R,D,7,21,9,112,75,207,104,88,148,55,33,1737.23,82,1.1,5,14,48.9,49,52.8,47.3,32.2,31.9,35.9,0,0,6.56,256,281,37,0,21.66,74,66,57.63,61.98,10.79,90.46,101.25,21.19
213,21-22,L,D,9,22,8,170,73,224,74,144,172,84,17,1966.33,79,1,11,17,47.2,47.8,44.1,42.7,27.9,34.7,37.4,0,0,8.06,322,447,63,1,22.19,58,72,60.86,70.16,7.69,90.79,98.49,24.89
213,22-23,L,D,6,21,9,115,73,224,97,144,162,85,34,1887.87,82,-0.4,9,12,47.1,47.4,42.4,51.7,33.3,35.5,31.1,0,0,6.27,257,456,51,1,22.16,55,75,65.36,73.67,8.08,90.13,98.21,23.02
1212,21-22,L,C,13,8,6,115,77,210,231,100,43,23,39,1222.95,79,-2.4,23,15,47.6,48.2,38,40.9,24.8,39.3,35.9,564,500,16.14,194,686,104,1,22.06,19,31,39.58,38.27,4.22,93.7,97.92,15.48
938,21-22,L,D,20,65,34,219,79,244,93,95,129,56,52,2056.2,82,4.4,13,18,53.5,53.7,56.6,54.8,37.5,31.6,30.9,0,0,13.75,462,526,98,6,23.15,78,59,69.79,58,9.74,91.44,101.17,25.08
1212,22-23,L,C,13,23,13,126,77,210,161,121,46,24,28,1283.08,82,-0.7,15,15,51,50.3,47.8,30.8,18.6,39.8,41.6,595,585,19.54,209,685,105,2,22.32,33,36,46.06,38.1,7.27,92.19,99.46,15.65
938,22-23,L,D,9,40,22,185,79,244,95,103,136,79,48,1802.65,76,-1.6,13,17,50.3,50.4,51.6,59.4,39.2,34,26.8,0,0,9.87,397,472,64,2,22.81,62,58,67.75,69.95,8.36,92.65,101,23.72
1212,23-24,L,C,12,23,15,119,77,210,181,115,65,17,38,1304.43,81,1.9,19,18,52.6,53.4,64.4,37.2,22.2,40.4,37.4,676,704,17.51,229,793,139,4,22.17,39,21,44.86,33.36,7.13,95.62,102.75,16.1
50,21-22,L,D,4,24,11,68,74,187,53,148,106,62,30,1747.53,82,-0.9,9,17,52.9,52.2,54.6,53.6,36.5,31.9,31.6,0,0,3.02,158,370,52,1,22.53,68,58,67.35,59.01,8.42,91.69,100.11,21.31
162,21-22,L,D,3,25,10,104,75,212,99,120,128,48,49,1659.92,78,6.3,4,17,50.1,50.5,58,43.7,28.8,34.1,37.1,0,0,5.47,225,307,34,1,22.16,62,44,58.18,55.38,8.79,93.63,102.43,21.28
50,22-23,L,D,2,12,3,58,74,187,47,108,111,43,26,1230.62,58,0.4,15,7,51.7,53.2,53.6,54.6,36.2,33.6,30.2,0,0,2.63,101,202,23,0,21.89,44,38,48.65,36.17,8.71,91.02,99.73,21.22
162,22-23,L,D,6,15,6,97,75,212,77,97,110,38,31,1320.77,61,1.7,9,18,51.5,51,53.4,40.9,26.6,35,38.4,0,0,4.66,230,183,25,0,21.9,47,40,48.2,45.7,8.45,92.09,100.55,21.65
253,21-22,L,D,10,58,32,221,73,219,92,133,87,76,40,1946.52,82,0,9,20,53.5,52.2,54.5,52.6,35.6,32.3,32.1,0,0,10.04,384,592,109,8,22.56,89,75,73.81,64.85,10.37,90.16,100.53,23.74
162,23-24,L,D,1,15,8,71,75,212,64,75,111,31,14,1176.33,58,2.3,12,12,49.2,50.1,48.1,41.4,28.5,31.2,40.3,0,0,3.93,179,177,25,0,21.56,40,43,36.49,40.04,8.33,91.4,99.73,20.28
253,22-23,L,D,4,37,20,126,73,219,70,104,85,65,20,1410.77,65,-0.3,8,9,50.7,50.9,50.5,54.4,37.2,31.6,31.2,0,0,7.41,242,431,80,3,22.77,46,45,55.6,51.76,8.13,91.85,99.98,21.7
162,24-25,L,D,0,21,4,109,75,212,73,120,87,58,36,1266.83,60,6.9,8,15,55.7,56.5,48.1,47.7,31.9,33,35,0,0,4.14,264,255,29,1,22.78,40,43,45.14,37.73,7.37,89.91,97.27,21.11
46,23-24,R,R,11,12,9,81,68,169,36,74,24,12,10,786.2,57,-3.5,14,5,48.8,50.4,55.1,52.9,35.2,33.5,31.4,4,3,8.63,153,407,48,3,22.3,27,22,24.28,25.18,9.06,92.44,101.5,13.79
837,21-22,L,D,5,28,13,108,75,210,124,86,138,34,22,1782.97,80,-1,11,32,47.1,46.5,45,34.1,21.9,35.6,42.4,0,0,6.68,204,360,74,7,23.03,69,84,61.13,73.31,9.75,90.15,99.9,22.29
1330,21-22,L,D,7,13,7,102,77,210,151,97,95,37,59,1689.85,82,4.8,7,12,50,50.2,56.4,46.7,29.3,37.2,33.5,0,0,5.35,221,457,89,2,22.76,61,47,57.66,61.14,8.53,93.32,101.86,20.61
289,22-23,L,C,6,14,7,64,76,215,28,50,8,10,12,509.33,44,0.3,5,4,56.5,57.9,48.6,53.1,36.1,31.9,31.9,83,91,7.46,120,276,27,0,21.99,18,19,19.26,15.85,7.14,89.14,96.29,11.58
1330,22-23,L,D,9,34,14,113,77,210,162,93,105,68,61,1734.22,79,3,4,17,51.8,52,50.3,49.7,32.4,34.8,32.8,0,0,7.45,240,427,92,5,22.72,67,66,62.59,66.23,9.03,90.22,99.25,21.95
289,23-24,L,C,3,6,4,35,76,215,11,22,16,11,6,421.13,42,-5.4,5,5,45.3,45,35.7,50.9,30.5,40.1,29.4,86,97,2.79,73,281,28,1,22.06,10,18,11.32,14.34,6.8,89.94,96.75,10.03
1076,21-22,L,R,35,19,8,247,74,205,111,66,28,43,34,1449.53,78,0.3,27,22,54.2,54.4,45.3,47.8,33.3,30.2,36.4,25,25,30.41,443,957,273,28,24.02,39,47,48.28,44.65,6.58,90.41,96.98,18.58
1243,21-22,R,D,28,58,29,240,72,187,95,73,110,40,49,1976.43,77,4.5,15,13,55.6,55.2,64.4,60.2,40.4,32.9,26.7,0,0,14.25,494,622,192,24,23.74,88,48,73.26,54.6,9.83,93.39,103.22,25.67
1076,22-23,L,R,41,26,16,250,74,205,119,63,32,39,24,1538.15,82,-0.1,15,22,52.2,53.6,58.1,48.5,32,34.1,34,16,35,26.53,451,917,228,17,23.3,50,36,47.72,41.83,8.58,92.53,101.11,18.76
1243,22-23,R,D,17,49,29,176,72,187,65,44,78,48,50,1582.82,60,4.6,21,14,56.6,55,59.1,64,43.3,32.4,24.4,0,0,13.03,403,493,153,19,23.4,55,38,55.35,41.98,8.49,92.99,101.48,26.38
1076,23-24,L,R,28,47,25,246,74,205,112,74,32,24,31,1457.92,77,-1,34,30,53.4,52.8,58,50.2,34.5,31.3,34.2,3,10,24.59,490,935,275,23,23.53,47,34,39.77,38.81,9.36,92.44,101.81,18.93
1076,24-25,L,R,35,38,27,237,74,205,100,57,36,78,13,1551.58,81,-2.5,20,18,51.2,50.9,64.8,49.5,32.5,34.3,33.2,11,13,29.59,477,948,267,27,23.26,61,33,45.05,42.41,11.78,93.29,105.07,19.16
54,21-22,R,R,10,29,17,121,72,184,14,82,37,50,51,1283.63,64,3.9,19,5,50.3,50.5,44.5,45.7,29.6,35.2,35.2,48,85,15.33,235,813,166,4,22.47,37,46,40.51,43.25,8.04,90.02,98.07,20.06
485,21-22,R,D,11,28,14,204,75,212,207,107,177,63,24,1816.93,81,2.9,26,35,48.8,49.2,56.4,45.5,28.6,37.1,34.3,0,0,11.65,388,266,37,0,21.92,66,51,59.18,65.15,9.19,93.15,102.35,22.43
54,23-24,R,R,4,8,6,108,72,184,32,85,24,21,46,908.77,71,-5.9,4,4,50.5,50.1,41,43.7,27,38.2,34.8,17,24,10.51,193,679,140,2,22.38,16,23,28.73,29.9,4.82,92.81,97.63,12.8
485,22-23,R,D,8,22,12,199,75,212,218,82,196,49,32,1738.07,82,1.1,17,24,50.5,51.4,48.8,47.7,31,34.9,34.1,0,1,8.91,362,195,16,2,23.17,66,69,61.17,66.37,9.15,89.81,98.96,21.2
578,21-22,R,D,6,16,6,92,75,201,155,125,124,60,14,1704.23,81,0,6,29,47.8,48.1,52,50.4,32.9,34.8,32.3,0,0,4.05,194,201,12,0,21.66,50,47,56.95,65.83,7.26,93.62,100.88,21.04
1268,22-23,L,D,3,11,4,76,73,210,48,145,244,30,29,1480.32,77,-3.2,8,13,45.6,47.8,56.2,46.3,30.8,33.5,35.7,0,0,3.86,197,193,20,0,21.25,63,49,60.47,56.36,9.89,92.41,102.3,19.22
578,22-23,R,D,3,7,1,41,75,201,131,111,67,31,8,1073.42,53,-2.8,8,18,49.9,51.2,50.7,44.4,28.6,35.7,35.8,0,0,2.56,109,131,11,0,20.7,35,34,42.81,38.38,7.88,91.9,99.79,20.25
1268,23-24,L,D,4,13,5,72,73,210,29,91,165,25,12,1047.43,55,-4.7,4,3,44.4,45.2,48.3,48.5,32.4,33.3,34.3,0,0,3.01,179,161,14,0,21.91,43,45,37.32,39,9.75,90.98,100.73,19.04
161,21-22,R,D,2,13,4,72,75,214,191,113,169,31,15,1761.08,82,-3.2,16,27,45.6,45.4,40.3,39.7,26.2,34.2,39.7,0,0,3.66,167,240,22,1,22.33,51,77,52.72,67.16,7.87,90.71,98.58,21.48
1436,22-23,L,C,23,55,31,208,75,214,52,87,48,38,56,1443.25,68,3.3,13,4,56.8,54.9,56.9,47.2,29.9,36.6,33.5,731,601,25.46,345,705,103,2,22.38,53,40,50,39.81,9.81,91.21,101.02,21.22
161,22-23,R,D,6,7,2,90,75,214,180,112,197,31,24,1699.75,80,-1.5,14,11,43.6,43.6,32.5,39.5,27.5,30.3,42.2,0,0,2.99,188,231,22,0,21.04,44,91,53.53,68.94,7.26,88.1,95.37,21.25
1436,23-24,L,C,23,57,35,193,75,214,104,92,50,31,61,1433.48,73,3.5,16,11,58.1,57.8,69.7,51.7,34.3,33.7,32,630,470,26.94,362,789,137,4,22.44,53,23,49.78,31.34,9.98,93.88,103.86,19.64
984,21-22,L,D,8,60,31,150,70,180,19,105,56,42,41,1919.12,76,4,9,14,52.6,52.3,54,57,39.9,30,30.1,0,0,7.27,342,562,95,4,22.59,60,50,59.27,60.29,7.97,92.6,100.57,25.25
984,22-23,L,D,7,69,35,154,70,180,29,96,71,45,56,2001.57,78,6.2,18,17,51.8,50.8,57,52,35.2,32.4,32.4,0,0,7.8,368,509,85,4,22.43,81,62,59.17,62.84,11.28,90.56,101.84,25.66
1436,21-22,L,C,39,49,26,214,75,214,50,72,42,51,59,1360.32,67,2.7,8,9,58.2,57.9,61.3,54.7,34.6,36.6,28.7,713,539,27.63,340,787,107,3,22.5,55,33,51.44,38.01,9.18,92.09,101.27,20.3
365,21-22,L,D,9,30,16,184,75,210,95,114,73,62,51,1733.67,82,-1.8,7,23,55,54,59,51.6,34.9,32.3,32.8,0,0,8,330,412,69,3,22.4,72,49,70.87,61.3,8.7,93.11,101.8,21.14
69,21-22,L,L,22,39,24,149,75,203,49,106,34,39,28,1300.67,80,2.8,15,9,55,53.7,54.2,57,37.2,34.6,28.2,8,12,14.99,313,850,191,3,22.77,70,59,53.54,48.98,10.07,90.23,100.3,16.26
365,22-23,L,D,18,20,8,188,75,210,71,74,62,54,47,1766.48,81,-2.7,7,20,58.6,58,50.8,57.3,38.8,32.3,28.9,0,0,10.21,411,376,62,3,22.27,59,57,69.18,54.11,7.47,90.72,98.18,21.81
69,22-23,L,L,13,26,15,105,75,203,17,68,15,17,31,811.13,49,-1.9,10,7,50.4,50.5,50,54.9,35.7,35,29.3,0,6,10.11,206,410,62,1,22.06,30,30,28.08,33.14,8.75,90.74,99.49,16.55
69,23-24,L,L,7,9,5,92,75,203,13,54,14,11,24,713.68,49,-1.1,8,6,49.9,47.7,37.8,52.3,36.1,30.9,33,3,3,9.25,202,446,55,2,22.36,14,23,21.98,22.21,5.15,92.12,97.27,14.56
777,21-22,R,D,16,31,8,167,72,208,149,75,101,40,37,1762.67,76,2.7,8,16,49.2,47.8,63.6,58.8,39.4,33,27.6,0,0,8.99,318,466,70,1,22.03,91,52,61.44,66.69,12.48,93.21,105.69,23.19
777,22-23,R,D,11,39,20,196,72,208,112,64,140,58,51,1916.93,82,-0.7,6,17,45.4,45.4,49.3,58.7,40.4,31.2,28.4,0,0,12.74,352,395,53,1,22.23,75,77,59.95,79.44,10.04,90.8,100.84,23.38
71,23-24,R,D,10,33,14,185,77,228,41,38,87,56,35,1763.07,82,1,7,10,59.8,58.6,59.2,52.3,34.6,33.8,31.6,0,0,8.79,510,285,35,0,21.85,64,44,64.2,47.65,8.85,91.76,100.61,21.5
859,21-22,L,D,14,37,16,151,71,183,60,76,115,78,44,1819.62,82,-0.6,21,13,43.6,42.6,43.2,43,27.9,35.2,36.9,0,0,7.77,314,196,16,0,21.83,58,76,53.24,72.9,9.57,91.14,100.71,22.19
71,24-25,R,D,6,23,10,174,77,228,11,47,98,104,36,1718.37,82,-1.7,6,14,57.2,56.8,50.4,54.8,38.3,30.2,31.5,0,0,5.81,438,253,28,0,21.72,61,60,63.96,56.25,8.98,89.27,98.25,20.96
727,21-22,L,D,3,15,4,91,76,215,88,177,139,46,34,1658.17,76,-5.1,7,12,48.9,50.2,55.8,51.8,33.1,36,30.9,0,0,3.88,185,284,35,0,21.1,67,53,62.57,59.86,8.54,93.19,101.72,21.82
1458,22-23,R,R,6,8,3,40,72,198,27,31,22,13,8,376.15,31,-2.6,8,5,41,42.5,50,40.8,25.1,38.4,36.5,96,109,3.24,67,196,40,1,22.54,19,19,12.14,15.82,13.97,89.5,103.47,12.13
