Index,Season,S/C,Pos,G,A,A1,S,Ht,Wt,Hits,HitsT,BkS,GvA,TkA,TOI,GP,SAT% Relative,Pen Drawn,Pen Taken,SAT%,USAT %,On-Ice GF %,OZ Ratio,OZ Start%,NZ Start%,DZ Start%,FOW,FOL,ixG,iCF,18+ MPH Speed Bursts,20+ MPH Speed Bursts,22+ MPH Speed Bursts,Top Speed (MPH),GF,GA,xGF,xGA,oiSh%,oiSv%,PDO,TOI/GP
197,23-24,L,C,11,17,13,111,74,206,62,87,101,11,23,1154.67,77,-2.5,13,3,49.7,53.3,43.2,47.2,29.5,37.5,33,461,477,11.07,184,804,207,19,22.89,32,42,38.68,32.55,6.48,88.77,95.25,15
621,23-24,L,C,17,23,14,146,72,194,141,75,46,23,37,1097.53,80,0,22,23,52.1,53.2,47.7,39.2,25.2,35.7,39.1,423,397,20.43,300,859,240,17,22.98,41,46,42.64,41.94,7.96,90.09,98.05,13.72
1333,23-24,L,D,4,24,10,88,73,207,85,56,65,20,18,1187.22,63,-1.4,13,11,45.8,46.5,36.2,48.4,31.5,34.8,33.6,0,0,5.31,165,265,36,0,21.93,29,50,37.65,45.1,6.81,89.84,96.64,18.84
748,24-25,L,D,4,25,9,118,74,190,108,98,83,95,28,1622.28,77,1.6,14,26,48.8,48.4,54,55,37.9,31.2,30.9,0,0,5.65,274,325,43,0,21.96,60,50,54.79,55.16,9.69,92.16,101.86,21.07
141,23-24,L,L,11,20,13,108,72,194,92,111,49,26,23,1111.05,71,3.3,9,13,54.6,54,52.6,49.1,31,36.9,32.1,4,13,13.3,196,358,37,0,21.74,40,36,44.87,35.73,8.15,91.63,99.77,15.65
1140,23-24,L,D,3,5,1,42,72,183,24,51,51,23,13,569.18,33,-5.6,0,6,47.5,48.2,43.7,57.6,38.1,33.8,28.1,0,0,2.45,100,205,47,4,22.44,21,27,21.42,23.71,8.08,90.53,98.6,17.25
521,23-24,R,R,2,4,3,41,74,205,35,32,22,10,10,354.25,32,-4.4,6,4,42.1,41.9,38.4,49.2,32.8,33.2,33.9,5,7,3.96,80,112,9,0,21.21,10,16,11.45,16.72,7.09,91.53,98.63,11.07
635,23-24,L,L,7,18,12,100,74,213,233,125,29,19,35,967.27,76,-1.7,10,14,46.9,47.6,43.6,47.3,32.4,31.4,36.1,26,27,12.8,196,664,153,7,22.96,31,40,37.6,34.13,7.36,91.4,98.76,12.73
702,23-24,L,C,12,18,12,149,72,190,104,94,24,25,43,1091.93,78,1.3,20,10,45.1,44.9,42.8,45.5,28.8,36.8,34.4,98,124,14.91,242,380,57,0,21.79,33,44,33.5,46.43,7.8,91.16,98.97,14
1230,24-25,L,D,2,16,9,73,74,207,25,185,124,104,26,1505.72,77,-1.2,9,7,51.1,51.6,51.1,47.1,30.3,35.6,34.1,0,0,4.31,163,320,33,0,21.3,45,43,51.81,48.96,7.79,91.93,99.72,19.55
